card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,21815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,24273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,26762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,29009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,30540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,34409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,36808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,38882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,40710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,42490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,44594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,46812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
