card,round,a0,ttc0,a1,ttc1,a2,ttc2,a3,ttc3,a4,ttc4,a5,ttc5,a6,ttc6,a7,ttc7,a8,ttc8,a9,ttc9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,21833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,24224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,26732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,28959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,30517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,34411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,36782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,38827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,40693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,42483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,44620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,46781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
